        0.0000000000       -0.0000006231       -0.0000006231
 step number          18
        0.0000003195       -0.0000006236       -0.0000003040
        0.0000003195        0.0000000000        0.0000003195
        0.0000000000       -0.0000006236       -0.0000006236
 step number          19
        0.0000003202       -0.0000006240       -0.0000003039
        0.0000003202        0.0000000000        0.0000003202
        0.0000000000       -0.0000006240       -0.0000006240
 step number          20
        0.0000003208       -0.0000006246       -0.0000003037
        0.0000003208        0.0000000000        0.0000003208
        0.0000000000       -0.0000006246       -0.0000006245
 step number          21
        0.0000003215       -0.0000006251       -0.0000003036
        0.0000003215        0.0000000000        0.0000003215
        0.0000000000       -0.0000006251       -0.0000006251
 step number          22
        0.0000003222       -0.0000006256       -0.0000003034
        0.0000003222        0.0000000000        0.0000003222
        0.0000000000       -0.0000006256       -0.0000006256
 step number          23
        0.0000003230       -0.0000006262       -0.0000003033
        0.0000003230        0.0000000000        0.0000003230
        0.0000000000       -0.0000006262       -0.0000006262
 step number          24
        0.0000003237       -0.0000006268       -0.0000003031
        0.0000003237        0.0000000000        0.0000003237
        0.0000000000       -0.0000006268       -0.0000006268
 step number          25
        0.0000003246       -0.0000006275       -0.0000003029
        0.0000003246        0.0000000000        0.0000003246
        0.0000000000       -0.0000006275       -0.0000006275
 step number          26
        0.0000003254       -0.0000006281       -0.0000003027
        0.0000003254        0.0000000000        0.0000003254
        0.0000000000       -0.0000006281       -0.0000006281
 step number          27
        0.0000003263       -0.0000006288       -0.0000003025
        0.0000003263        0.0000000000        0.0000003263
        0.0000000000       -0.0000006288       -0.0000006288
 step number          28
        0.0000003273       -0.0000006295       -0.0000003023
        0.0000003273        0.0000000000        0.0000003273
        0.0000000000       -0.0000006295       -0.0000006295
 step number          29
        0.0000003282       -0.0000006303       -0.0000003020
        0.0000003282        0.0000000000        0.0000003282
        0.0000000000       -0.0000006303       -0.0000006303
 step number          30
        0.0000003292       -0.0000006310       -0.0000003018
        0.0000003292        0.0000000000        0.0000003292
        0.0000000000       -0.0000006310       -0.0000006310
 step number          31
        0.0000003303       -0.0000006318       -0.0000003016
        0.0000003303        0.0000000000        0.0000003303
        0.0000000000       -0.0000006318       -0.0000006318
 step number          32
        0.0000003313       -0.0000006326       -0.0000003013
        0.0000003313        0.0000000000        0.0000003313
